          ,close  ,high              ,low    ,p_change             ,open  ,pre_close,volume  ,date    ,date_week,key,atr21             ,atr14
2018-04-12,174.8  ,176.48            ,173.16 ,1.416                ,173.33,172.36   ,3065620 ,20180412,3        ,210,5.345547648424518 ,5.377669880405681
2018-04-13,174.27 ,176.1             ,172.7  ,-0.303               ,176.0 ,174.8    ,3059947 ,20180413,4        ,211,5.199588771050114 ,5.1593138963515655
2018-04-16,173.87 ,176.1             ,172.97 ,-0.23                ,175.62,174.27   ,4668552 ,20180416,0        ,212,5.011444337031307 ,4.88873871017134
2018-04-17,178.33 ,179.11            ,174.72 ,2.565                ,175.87,173.87   ,228060  ,20180417,1        ,213,4.995858488188662 ,4.882240215481821
2018-04-18,179.41 ,179.75            ,177.17 ,0.606                ,178.76,178.33   ,133082  ,20180418,2        ,214,5.076234989363736 ,5.015274853417576
2018-04-19,179.01 ,179.575           ,178.26 ,-0.223               ,179.08,179.41   ,3560370 ,20180419,3        ,215,4.734304535393366 ,4.521904872961881
2018-04-20,177.08 ,179.49            ,176.5  ,-1.078               ,178.53,179.01   ,4232997 ,20180420,4        ,216,4.575731395646949 ,4.317650889900292
2018-04-23,175.43 ,178.35            ,174.7  ,-0.932               ,178.16,177.08   ,4354972 ,20180423,0        ,217,4.5515739960198065,4.316630771246927
2018-04-24,173.24 ,177.55            ,171.19 ,-1.248               ,176.68,175.43   ,5369033 ,20180424,1        ,218,4.715976360159558 ,4.5890800017473445
2018-04-25,172.47 ,173.87            ,170.65 ,-0.444               ,173.37,173.24   ,3396159 ,20180425,2        ,219,4.7217966910586995,4.614536001514366
2018-04-26,178.16 ,179.63            ,174.22 ,3.299                ,174.52,172.47   ,4784371 ,20180426,3        ,220,4.873451537433997 ,4.851264534645779
2018-04-27,175.94 ,179.0             ,175.18 ,-1.246               ,178.54,178.16   ,3781015 ,20180427,4        ,221,5.0240468523101365,5.075095930026338
2018-04-30,178.27 ,180.0             ,177.1  ,1.324                ,177.49,175.94   ,4323904 ,20180430,0        ,222,4.830951683804752 ,4.785083139356156
2018-05-01,180.25 ,180.36            ,176.91 ,1.111                ,178.27,178.27   ,4828329 ,20180501,1        ,223,4.793592439802525 ,4.736405387441996
2018-05-02,185.82 ,188.25            ,183.12 ,3.09                 ,186.2 ,180.25   ,10133050,20180502,2        ,224,5.265084036413258 ,5.435551335783062
2018-05-03,186.48 ,187.89            ,183.94 ,0.355                ,184.6 ,185.82   ,5785667 ,20180503,3        ,225,5.480985487743799 ,5.7294778243453095
2018-05-04,188.17 ,188.79            ,185.11 ,0.906                ,185.79,186.48   ,3593638 ,20180504,4        ,226,5.31725953424678  ,5.456214114432597
2018-05-07,189.1  ,189.52            ,187.63 ,0.494                ,188.3 ,188.17   ,4077299 ,20180507,0        ,227,5.110235940148748 ,5.134052232508244
2018-05-08,190.53 ,190.66            ,188.02 ,0.7559999999999999   ,188.89,189.1    ,3396449 ,20180508,1        ,228,4.885669036424315 ,4.801511934840475
2018-05-09,190.63 ,191.68            ,189.0  ,0.052000000000000005 ,190.51,190.53   ,2933853 ,20180509,2        ,229,4.68515366941614  ,4.518643676861744
2018-05-10,193.05 ,193.72            ,190.94 ,1.269                ,191.04,190.63   ,2821213 ,20180510,3        ,230,4.549230608522835 ,4.341491186613507
2018-05-11,193.35 ,194.09            ,192.04 ,0.155                ,193.0 ,193.05   ,3301734 ,20180511,4        ,231,4.4502096440869705,4.22395902839837
2018-05-14,192.12 ,194.72            ,191.585,-0.636               ,193.5 ,193.35   ,2877238 ,20180514,0        ,232,4.330645130961045 ,4.078764491278585
2018-05-15,192.0  ,192.195           ,190.15 ,-0.062               ,191.01,192.12   ,2747497 ,20180515,1        ,233,4.227859209943402 ,3.961595892441443
2018-05-16,192.38 ,192.91            ,191.435,0.198                ,192.69,192.0    ,2109329 ,20180516,2        ,234,3.9775992817198347,3.630049773449249
2018-05-17,191.2  ,192.44            ,190.59 ,-0.613               ,192.05,192.38   ,2378266 ,20180517,3        ,235,3.7841811651669017,3.3927098036560146
2018-05-18,190.4  ,192.09            ,190.39 ,-0.418               ,191.62,191.2    ,4208500 ,20180518,4        ,236,3.621073786490113 ,3.2056818298352208
2018-05-21,191.2  ,192.83            ,190.01 ,0.42                 ,191.5 ,190.4    ,2632599 ,20180521,0        ,237,3.548248896798943 ,3.154257585857194
2018-05-22,191.62 ,192.64            ,190.84 ,0.22                 ,191.18,191.2    ,2615443 ,20180522,1        ,238,3.4293171788929024,3.0323565744095577
2018-05-23,192.99 ,193.0             ,190.3  ,0.715                ,190.74,191.62   ,2529942 ,20180523,2        ,239,3.3630156171676506,2.988042364488282
2018-05-24,191.91 ,193.4             ,190.0  ,-0.56                ,192.91,192.99   ,2912888 ,20180524,3        ,240,3.3663778337891292,3.0429700492231784
2018-05-25,191.17 ,191.89            ,189.72 ,-0.386               ,191.75,191.91   ,2459577 ,20180525,4        ,241,3.3576162125347357,3.0732407093267637
2018-05-29,189.53 ,190.49            ,186.6  ,-0.858               ,190.25,191.17   ,4544996 ,20180529,1        ,242,3.5351056477743685,3.371475281416533
2018-05-30,191.76 ,191.93            ,189.895,1.177                ,190.43,189.53   ,2764225 ,20180530,2        ,243,3.3987324070567704,3.1932785772276615
2018-05-31,190.12 ,192.44            ,189.82 ,-0.855               ,191.89,191.76   ,4641376 ,20180531,3        ,244,3.3543021882302178,3.1555081002639724
