          ,close  ,high   ,low    ,p_change,open   ,pre_close,volume ,date    ,date_week,atr21             ,atr14             ,key
2018-03-05,167.5  ,168.31 ,160.79 ,0.335   ,161.75 ,166.94   ,880325 ,20180305,0        ,4.909073293754535 ,4.855746737736299 ,183
2018-03-06,166.06 ,168.5  ,164.24 ,-0.86   ,168.0  ,167.5    ,1095112,20180306,1        ,4.850066629388001 ,4.776313839371205 ,184
2018-03-07,166.76 ,167.35 ,163.81 ,0.422   ,164.0  ,166.06   ,773260 ,20180307,2        ,4.744606024607492 ,4.631471994121315 ,185
2018-03-08,168.37 ,168.79 ,166.71 ,0.965   ,167.15 ,166.76   ,757130 ,20180308,3        ,4.561460019041052 ,4.377942394904533 ,186
2018-03-09,170.05 ,171.68 ,168.17 ,0.998   ,169.77 ,168.37   ,825968 ,20180309,4        ,4.5940545633032634,4.45021674225075  ,187
2018-03-12,169.99 ,170.35 ,168.96 ,-0.035  ,170.0  ,170.05   ,12036  ,20180312,0        ,4.356413235796304 ,4.120854509950057 ,188
2018-03-13,169.08 ,171.05 ,168.69 ,-0.535  ,170.73 ,169.99   ,551930 ,20180313,1        ,4.174921120972352 ,3.886073908623019 ,189
2018-03-14,166.69 ,169.47 ,166.16 ,-1.414  ,169.47 ,169.08   ,690083 ,20180314,2        ,4.143564655040076 ,3.878597387473275 ,190
2018-03-15,166.48 ,167.48 ,165.43 ,-0.126  ,167.15 ,166.69   ,574661 ,20180315,3        ,4.098695140439054 ,3.8481177358101406,191
2018-03-16,167.3  ,168.31 ,165.54 ,0.493   ,166.62 ,166.48   ,907561 ,20180316,4        ,3.97790467188692  ,3.7043687043686444,192
2018-03-19,164.85 ,167.52 ,165.08 ,-1.464  ,167.0  ,167.3    ,16491  ,20180319,0        ,3.8380951549566014,3.535786210452677 ,193
2018-03-20,167.46 ,168.38 ,165.3  ,1.583   ,166.02 ,164.85   ,463473 ,20180320,1        ,3.769177413012445 ,3.475014715725605 ,194
2018-03-21,168.59 ,169.29 ,167.45 ,0.675   ,167.45 ,167.46   ,14658  ,20180321,2        ,3.830161285026926 ,3.603679420295601 ,195
2018-03-22,160.91 ,166.31 ,160.7  ,-4.555  ,165.59 ,168.59   ,770099 ,20180322,3        ,4.096510260982167 ,4.024522164256434 ,196
2018-03-23,158.42 ,162.63 ,158.39 ,-1.547  ,161.16 ,160.91   ,990343 ,20180323,4        ,4.651372968064608 ,4.847919209022657 ,197
2018-03-26,163.3  ,163.64 ,159.91 ,3.08    ,161.54 ,158.42   ,552412 ,20180326,0        ,4.567611788664467 ,4.698863314486237 ,198
2018-03-27,159.54 ,164.13 ,158.43 ,-2.303  ,164.13 ,163.3    ,789053 ,20180327,1        ,4.671465262969111 ,4.833681539221453 ,199
2018-03-28,158.94 ,160.74 ,156.32 ,-0.376  ,159.94 ,159.54   ,784106 ,20180328,2        ,4.8813320582492965,5.11985733399202  ,200
2018-03-29,161.3  ,162.48 ,158.49 ,1.485   ,159.8  ,158.94   ,856929 ,20180329,3        ,4.8003018707830885,4.969209689459706 ,201
2018-04-02,158.66 ,161.25 ,156.24 ,-1.637  ,160.96 ,161.3    ,969708 ,20180402,0        ,4.819365337150955 ,4.9746483975317455,202
2018-04-03,160.87 ,161.08 ,158.11 ,1.393   ,159.88 ,158.66   ,862470 ,20180403,1        ,4.671241215059034 ,4.736695277860796 ,203
2018-04-04,162.26 ,162.74 ,157.77 ,0.864   ,159.01 ,160.87   ,722892 ,20180404,2        ,4.698401104687925 ,4.767802574146028 ,204
2018-04-05,162.16 ,162.93 ,161.54 ,-0.062  ,162.53 ,162.26   ,22660  ,20180405,3        ,4.458546458094261 ,4.4067622309265015,205
2018-04-06,158.99 ,161.75 ,157.23 ,-1.955  ,160.28 ,162.16   ,684267 ,20180406,4        ,4.510496780226071 ,4.489860600136313 ,206
2018-04-09,159.46 ,162.67 ,159.29 ,0.296   ,160.41 ,158.99   ,501815 ,20180409,0        ,4.407724345407601 ,4.341879186784787 ,207
2018-04-10,162.64 ,163.85 ,160.43 ,1.994   ,161.82 ,159.46   ,682727 ,20180410,1        ,4.448840314098726 ,4.410961961880151 ,208
2018-04-11,162.6  ,162.97 ,160.21 ,-0.025  ,161.17 ,162.64   ,46504  ,20180411,2        ,4.363491194461927 ,4.290833700296116 ,209
2018-04-12,163.95 ,165.28 ,162.977,0.83    ,164.03 ,162.6    ,599133 ,20180412,3        ,4.206810176494398 ,4.070722540256619 ,210
2018-04-13,162.89 ,165.4  ,161.83 ,-0.647  ,164.03 ,163.95   ,420572 ,20180413,4        ,4.148918342170501 ,4.003959534889065 ,211
