    ,timestamp ,open          ,high          ,low           ,close         ,open (USD).1  ,high (USD).1  ,low (USD).1   ,close (USD).1 ,volume         ,market cap (USD)  ,pre_close     ,p_change               ,pip_change
1777,2014-08-06,584.81107241  ,588.18175173  ,581.31581901  ,584.57865324  ,584.81107241  ,588.18175173  ,581.31581901  ,584.57865324  ,20114.3229285  ,11758403.80847434 ,584.66166645  ,-0.00014198503983342547,-1.4198503983342547
1776,2014-08-07,583.89478638  ,592.13607383  ,582.83637846  ,588.70036058  ,583.89478638  ,592.13607383  ,582.83637846  ,588.70036058  ,19142.76185609 ,11269350.80708339 ,584.57865324  ,0.007050731868424753   ,70.50731868424754
1775,2014-08-08,588.60524201  ,597.46031645  ,588.49191923  ,592.02978649  ,588.60524201  ,597.46031645  ,588.49191923  ,592.02978649  ,16202.3346125  ,9592264.7013455   ,588.70036058  ,0.005655552693597299   ,56.55552693597299
1774,2014-08-09,591.50239053  ,591.72822663  ,587.62276721  ,589.96824366  ,591.50239053  ,591.72822663  ,587.62276721  ,589.96824366  ,8071.95484209  ,4762197.02105421  ,592.02978649  ,-0.0034821606565142993 ,-34.82160656514299
1773,2014-08-10,590.31973378  ,596.01899687  ,588.62126615  ,590.14247388  ,590.31973378  ,596.01899687  ,588.62126615  ,590.14247388  ,9546.34795351  ,5633705.39777868  ,589.96824366  ,0.000295321353093847   ,2.95321353093847
1772,2014-08-11,591.04625862  ,591.18184258  ,573.43820916  ,575.47175973  ,591.04625862  ,591.18184258  ,573.43820916  ,575.47175973  ,23211.95298634 ,13357823.43181101 ,590.14247388  ,-0.024859614075131153  ,-248.59614075131154
1771,2014-08-12,575.46677652  ,576.04821436  ,565.84098707  ,569.46955071  ,575.46677652  ,576.04821436  ,565.84098707  ,569.46955071  ,23487.08666439 ,13375180.69025092 ,575.47175973  ,-0.010430067016348632  ,-104.30067016348632
1770,2014-08-13,569.70366854  ,573.09509917  ,527.23544795  ,546.96090781  ,569.70366854  ,573.09509917  ,527.23544795  ,546.96090781  ,62147.4658548  ,33992234.34218622 ,569.46955071  ,-0.03952563025000522   ,-395.2563025000522
1769,2014-08-14,546.9256164   ,547.11259078  ,497.84182659  ,504.16158858  ,546.9256164   ,547.11259078  ,497.84182659  ,504.16158858  ,92248.59678182 ,46508199.09822898 ,546.96090781  ,-0.0782493202327128    ,-782.4932023271281
1768,2014-08-15,509.4061784   ,518.36829824  ,487.47103658  ,498.50512851  ,509.4061784   ,518.36829824  ,487.47103658  ,498.50512851  ,53237.30092881 ,26539067.54078924 ,504.16158858  ,-0.011219537938087942  ,-112.19537938087942
1767,2014-08-16,498.43670974  ,524.81258964  ,486.56170026  ,521.4634829   ,498.43670974  ,524.81258964  ,486.56170026  ,521.4634829   ,39851.29864083 ,20780996.98717582 ,498.50512851  ,0.04605439959789592    ,460.54399597895923
1766,2014-08-17,521.10961689  ,521.69381412  ,485.88661433  ,496.69345619  ,521.10961689  ,521.69381412  ,485.88661433  ,496.69345619  ,34028.01632932 ,16901493.03776906 ,521.4634829   ,-0.047500980456478326  ,-475.0098045647833
1765,2014-08-18,495.72047876  ,505.23495705  ,440.49513181  ,464.30500254  ,495.72047876  ,505.23495705  ,440.49513181  ,464.30500254  ,102955.25393031,47802639.43724041 ,496.69345619  ,-0.06520813440636608   ,-652.0813440636608
1764,2014-08-19,464.34079051  ,490.62097378  ,454.29910573  ,487.28075838  ,464.34079051  ,490.62097378  ,454.29910573  ,487.28075838  ,59822.32641177 ,29150268.58228074 ,464.30500254  ,0.04948418757995321    ,494.8418757995321
