          ,close  ,high   ,low    ,p_change             ,open  ,pre_close,volume  ,date    ,date_week,key,atr21             ,atr14
2017-12-07,111.4  ,111.41 ,109.45 ,1.513                ,109.77,109.74   ,7384855 ,20171207,3        ,125,2.600210142347792 ,2.919991298664227
2017-12-08,112.6  ,112.61 ,111.815,1.077                ,112.13,111.4    ,7594900 ,20171208,4        ,126,2.6247366288010983,2.913325792090341
2017-12-11,112.37 ,113.35 ,112.155,-0.204               ,112.5 ,112.6    ,7538608 ,20171211,0        ,127,2.5633966266139114,2.784882351720073
2017-12-12,113.46 ,113.73 ,112.0  ,0.97                 ,112.37,112.37   ,8754436 ,20171212,1        ,128,2.4876329503408146,2.6442313701384625
2017-12-13,113.31 ,114.37 ,113.19 ,-0.132               ,113.75,113.46   ,8088922 ,20171213,2        ,129,2.443302497773786 ,2.5583338534042612
2017-12-14,112.92 ,114.09 ,112.92 ,-0.344               ,113.55,113.31   ,9815572 ,20171214,3        ,130,2.3275472876272536,2.37322267161359
2017-12-15,113.82 ,114.2  ,112.39 ,0.797                ,113.97,112.92   ,16387998,20171215,4        ,131,2.2804973725012387,2.2981263149284477
2017-12-18,113.55 ,114.75 ,113.25 ,-0.237               ,114.69,113.82   ,8961777 ,20171218,0        ,132,2.239542937950339 ,2.235709472599428
2017-12-19,112.14 ,113.28 ,112.08 ,-1.242               ,113.28,113.55   ,7899423 ,20171219,1        ,133,2.194129814599579 ,2.169614875942135
2017-12-20,112.12 ,113.1  ,111.99 ,-0.018000000000000002,112.72,112.14   ,6201850 ,20171220,2        ,134,2.1364815007773212,2.088332892152036
2017-12-21,112.41 ,113.1  ,112.319,0.259                ,112.6 ,112.12   ,8866354 ,20171221,3        ,135,2.029528386004085 ,1.9378885060005568
2017-12-22,112.69 ,113.11 ,112.25 ,0.249                ,112.39,112.41   ,6190062 ,20171222,4        ,136,1.935025603785736 ,1.8115033714803945
2017-12-26,112.99 ,113.44 ,112.07 ,0.266                ,112.07,112.69   ,3948877 ,20171226,1        ,137,1.8836595401532805,1.7526362551268881
2017-12-27,114.02 ,114.07 ,112.65 ,0.912                ,112.69,112.99   ,7073082 ,20171227,2        ,138,1.8415085985263628,1.7082847543413602
2017-12-28,114.35 ,114.92 ,113.99 ,0.289                ,114.3 ,114.02   ,6937066 ,20171228,3        ,139,1.8495532842859224,1.7378467871547327
2017-12-29,114.02 ,114.89 ,114.02 ,-0.289               ,114.75,114.35   ,5248976 ,20171229,4        ,140,1.7605028559166531,1.6221338820010007
2018-01-02,114.51 ,115.08 ,113.95 ,0.43                 ,114.57,114.02   ,6080894 ,20180102,1        ,141,1.7031843385186562,1.5565160309693544
2018-01-03,115.65 ,115.785,114.66 ,0.996                ,114.95,114.51   ,6946106 ,20180103,2        ,142,1.7088039508773012,1.5843138935428163
2018-01-04,116.08 ,117.36 ,116.03 ,0.3720000000000001   ,116.25,115.65   ,7805278 ,20180104,3        ,143,1.8125491598633519,1.7530720412600922
2018-01-05,118.86 ,119.0  ,116.42 ,2.395                ,116.99,116.08   ,8590495 ,20180105,4        ,144,1.9523175572032418,1.9659957692994623
