,timestamp,open,high,low,close,pre_close,p_change,pip_change
3774,2006-01-17,1.7684,1.7701,1.7584,1.7673,1.7682,-0.000508992195452973,-5.08992195452973
3773,2006-01-18,1.7674,1.7705,1.7584,1.7637,1.7673,-0.0020370056017654514,-20.370056017654512
3772,2006-01-19,1.7637,1.7639,1.7525,1.7594,1.7637,-0.0024380563587911297,-24.380563587911297
3771,2006-01-20,1.7592,1.7723,1.7533,1.7715,1.7594,0.0068773445492782415,68.77344549278241
3770,2006-01-23,1.7705,1.7881,1.7699,1.786,1.7715,0.008185153824442626,81.85153824442625
3769,2006-01-24,1.7871,1.7895,1.7803,1.7843,1.786,-0.0009518477043672924,-9.518477043672924
3768,2006-01-25,1.7847,1.7934,1.7814,1.7837,1.7843,-0.0003362663229277141,-3.362663229277141
3767,2006-01-26,1.7837,1.789,1.7775,1.7799,1.7837,-0.0021304030946908137,-21.304030946908135
3766,2006-01-27,1.7787,1.7877,1.7664,1.7674,1.7799,-0.007022866453171517,-70.22866453171517
3765,2006-01-30,1.7685,1.7715,1.7632,1.7685,1.7674,0.0006223831617064857,6.223831617064857
3764,2006-01-31,1.7683,1.7858,1.7663,1.7793,1.7685,0.006106870229007688,61.068702290076885
3763,2006-02-01,1.7791,1.7812,1.7723,1.7746,1.7793,-0.0026414882257068673,-26.414882257068673
3762,2006-02-02,1.7745,1.7813,1.7709,1.7806,1.7746,0.0033810436154626533,33.81043615462653
3761,2006-02-03,1.7803,1.7833,1.7589,1.7617,1.7806,-0.010614399640570538,-106.14399640570538
3760,2006-02-06,1.7626,1.764,1.7432,1.7474,1.7617,-0.008117159561786935,-81.17159561786936
3759,2006-02-07,1.7476,1.7515,1.7402,1.7444,1.7474,-0.0017168364427149196,-17.168364427149196
3758,2006-02-08,1.7445,1.7474,1.7376,1.7413,1.7444,-0.001777115340518165,-17.77115340518165
3757,2006-02-09,1.7413,1.7462,1.7371,1.7411,1.7413,-0.00011485671624644755,-1.1485671624644755
3756,2006-02-10,1.7412,1.7574,1.7405,1.7446,1.7411,0.002010223421974544,20.10223421974544
3755,2006-02-13,1.7439,1.7448,1.7362,1.7409,1.7446,-0.002120829989682438,-21.20829989682438
3754,2006-02-14,1.7406,1.7445,1.7276,1.7359,1.7409,-0.002872077660979855,-28.72077660979855
3753,2006-02-15,1.7362,1.7487,1.7328,1.7407,1.7359,0.0027651362405667346,27.651362405667346
3752,2006-02-16,1.7406,1.7414,1.7303,1.7391,1.7407,-0.0009191704486699592,-9.191704486699592
3751,2006-02-17,1.7407,1.7422,1.7368,1.7408,1.7391,0.0009775171065493637,9.775171065493637
3750,2006-02-20,1.7411,1.7461,1.7403,1.7434,1.7408,0.0014935661764707842,14.935661764707842
3749,2006-02-21,1.7435,1.7474,1.7412,1.7456,1.7434,0.0012619020305151274,12.619020305151274
3748,2006-02-22,1.7456,1.7466,1.7372,1.7436,1.7456,-0.0011457378551786856,-11.457378551786856
3747,2006-02-23,1.7436,1.7552,1.7411,1.7514,1.7436,0.004473503097040643,44.73503097040643
3746,2006-02-24,1.7509,1.7534,1.7425,1.7452,1.7514,-0.003540025122758972,-35.40025122758972
3745,2006-02-27,1.7444,1.7451,1.7375,1.7399,1.7452,-0.0030369012147605234,-30.369012147605233
3744,2006-02-28,1.74,1.7569,1.7374,1.7535,1.7399,0.007816541180527548,78.16541180527548
3743,2006-03-01,1.7532,1.7593,1.7459,1.7494,1.7535,-0.002338180781294552,-23.38180781294552
3742,2006-03-02,1.7499,1.7549,1.7431,1.7537,1.7494,0.002457985595061052,24.57985595061052
3741,2006-03-03,1.7534,1.7586,1.7501,1.7538,1.7537,5.702229571769024e-05,0.5702229571769024
3740,2006-03-06,1.7564,1.7623,1.7464,1.7501,1.7538,-0.002109704641350185,-21.09704641350185
3739,2006-03-07,1.7501,1.7507,1.7328,1.7358,1.7501,-0.00817096165933373,-81.7096165933373
3738,2006-03-08,1.7357,1.742,1.7341,1.7386,1.7358,0.001613089065560569,16.13089065560569
3737,2006-03-09,1.7385,1.7412,1.7343,1.7354,1.7386,-0.0018405613712181301,-18.4056137121813
3736,2006-03-10,1.7355,1.7398,1.7228,1.7261,1.7354,-0.005358995044370207,-53.58995044370207
3735,2006-03-13,1.7263,1.7334,1.723,1.7325,1.7261,0.003707780545738837,37.077805457388365
3734,2006-03-14,1.7325,1.7485,1.7325,1.746,1.7325,0.007792207792207906,77.92207792207905
3733,2006-03-15,1.7461,1.7494,1.7417,1.7474,1.746,0.0008018327605956443,8.018327605956443
3732,2006-03-16,1.748,1.7595,1.7438,1.7572,1.7474,0.005608332379535286,56.083323795352854
3731,2006-03-17,1.7571,1.7576,1.7509,1.7569,1.7572,-0.00017072615524704737,-1.7072615524704737
3730,2006-03-20,1.7547,1.7586,1.7523,1.7562,1.7569,-0.00039842905116960203,-3.9842905116960203
3729,2006-03-21,1.7551,1.7562,1.7449,1.7477,1.7562,-0.004839995444710143,-48.399954447101436
3728,2006-03-22,1.7475,1.7507,1.745,1.7471,1.7477,-0.00034330834811457933,-3.4330834811457933
3727,2006-03-23,1.747,1.7473,1.7326,1.7341,1.7471,-0.007440902066281341,-74.4090206628134
3726,2006-03-24,1.7347,1.7443,1.7308,1.7423,1.7341,0.004728677700247985,47.28677700247985
3725,2006-03-27,1.7429,1.7493,1.7413,1.746,1.7423,0.0021236296848992087,21.236296848992087
3724,2006-03-28,1.7464,1.7538,1.7423,1.7424,1.746,-0.0020618556701030855,-20.618556701030855
3723,2006-03-29,1.7427,1.7442,1.7315,1.7335,1.7424,-0.005107897153351693,-51.07897153351693
3722,2006-03-30,1.7345,1.7482,1.7333,1.746,1.7335,0.007210845111047082,72.10845111047081
3721,2006-03-31,1.7464,1.7477,1.7334,1.7363,1.746,-0.005555555555555536,-55.55555555555536
3720,2006-04-03,1.7362,1.7404,1.7248,1.7396,1.7363,0.0019005932154581018,19.005932154581018
3719,2006-04-04,1.7394,1.7575,1.7368,1.7548,1.7396,0.008737640836973926,87.37640836973925
3718,2006-04-05,1.755,1.7616,1.7477,1.754,1.7548,-0.00045589240939136744,-4.558924093913674
3717,2006-04-06,1.7537,1.7596,1.7488,1.7516,1.754,-0.00136830102622576,-13.6830102622576
3716,2006-04-07,1.7511,1.7537,1.7392,1.7436,1.7516,-0.0045672527974423005,-45.672527974423005
3715,2006-04-10,1.7427,1.747,1.7374,1.7439,1.7436,0.00017205781142459742,1.7205781142459742
3714,2006-04-11,1.7435,1.7494,1.7391,1.7481,1.7439,0.0024083949767761403,24.083949767761403
3713,2006-04-12,1.7487,1.757,1.7458,1.75,1.7481,0.0010868943424289235,10.868943424289235
3712,2006-04-13,1.7503,1.7565,1.7482,1.7523,1.75,0.0013142857142856013,13.142857142856013
3711,2006-04-14,1.7522,1.7534,1.7503,1.7509,1.7523,-0.0007989499514923226,-7.989499514923226
3710,2006-04-17,1.7531,1.7747,1.7527,1.7701,1.7509,0.01096578902278833,109.6578902278833
3709,2006-04-18,1.7703,1.7843,1.7674,1.7829,1.7701,0.007231229874018474,72.31229874018474
3708,2006-04-19,1.7834,1.7934,1.7794,1.7922,1.7829,0.005216220763923918,52.16220763923918
3707,2006-04-20,1.7923,1.7924,1.7752,1.7779,1.7922,-0.007979020198638498,-79.79020198638497
3706,2006-04-21,1.7781,1.7845,1.7751,1.7821,1.7779,0.0023623375892907195,23.623375892907195
3705,2006-04-24,1.786,1.7931,1.7789,1.7856,1.7821,0.001963975085573333,19.63975085573333
3704,2006-04-25,1.7861,1.7942,1.7821,1.7873,1.7856,0.0009520609318995898,9.520609318995898
3703,2006-04-26,1.7874,1.7909,1.7798,1.7842,1.7873,-0.001734459799697885,-17.344597996978848
3702,2006-04-27,1.7843,1.8045,1.7819,1.8015,1.7842,0.009696222396592402,96.96222396592403
3701,2006-04-28,1.801,1.8244,1.7998,1.8232,1.8015,0.012045517624202029,120.45517624202029
3700,2006-05-01,1.8236,1.8414,1.8204,1.8236,1.8232,0.00021939447125940426,2.1939447125940426
3699,2006-05-02,1.824,1.8424,1.8206,1.8393,1.8236,0.008609344154419718,86.09344154419718
3698,2006-05-03,1.8394,1.8476,1.8353,1.8423,1.8393,0.0016310552927745192,16.310552927745192
3697,2006-05-04,1.8424,1.8549,1.8334,1.8524,1.8423,0.005482277587797846,54.82277587797846
3696,2006-05-05,1.8525,1.8622,1.8472,1.8585,1.8524,0.0032930252645217983,32.93025264521798
3695,2006-05-08,1.8624,1.8692,1.8547,1.8574,1.8585,-0.0005918751681464052,-5.918751681464052
3694,2006-05-09,1.8578,1.8688,1.8513,1.8668,1.8574,0.005060837730160417,50.608377301604165
3693,2006-05-10,1.867,1.8729,1.8602,1.8646,1.8668,-0.0011784872509106314,-11.784872509106314
3692,2006-05-11,1.8642,1.8857,1.8529,1.8818,1.8646,0.009224498551968274,92.24498551968274
3691,2006-05-12,1.882,1.8998,1.8818,1.8946,1.8818,0.006801998086938044,68.01998086938043
3690,2006-05-15,1.8964,1.8996,1.8762,1.8791,1.8946,-0.008181146416130103,-81.81146416130103
3689,2006-05-16,1.8789,1.8895,1.8746,1.8881,1.8791,0.004789526901175956,47.89526901175955
3688,2006-05-17,1.888,1.9024,1.8773,1.8799,1.8881,-0.0043429903077167875,-43.42990307716788
3687,2006-05-18,1.8798,1.8962,1.8791,1.8948,1.8799,0.007925953508165495,79.25953508165495
3686,2006-05-19,1.895,1.8955,1.8698,1.8778,1.8948,-0.008971923158117012,-89.71923158117012
3685,2006-05-22,1.8765,1.8886,1.8631,1.8851,1.8778,0.003887527958249093,38.87527958249093
3684,2006-05-23,1.8848,1.8885,1.8774,1.8789,1.8851,-0.003288950188318873,-32.88950188318873
3683,2006-05-24,1.8761,1.886,1.8652,1.8687,1.8789,-0.005428708286763562,-54.28708286763562
3682,2006-05-25,1.8685,1.8772,1.8664,1.877,1.8687,0.004441590410445784,44.41590410445784
3681,2006-05-26,1.8772,1.8773,1.8529,1.8566,1.877,-0.010868407032498695,-108.68407032498695
3680,2006-05-29,1.8576,1.8641,1.8558,1.8588,1.8566,0.001184961758052383,11.84961758052383
3679,2006-05-30,1.8587,1.8867,1.8578,1.8834,1.8588,0.013234344738541015,132.34344738541014
3678,2006-05-31,1.8831,1.8854,1.8684,1.8712,1.8834,-0.006477646808962456,-64.77646808962456
3677,2006-06-01,1.8716,1.8725,1.8565,1.8657,1.8712,-0.0029392902949978428,-29.392902949978428
